referral_lead_id,referring_partner_id,customer_id,country,service_type,industry,referred_at,matched_at,booked_at,resolved_at,referral_status,deal_size_estimate,urgency
RL01092,R013,,DE,bookkeeping,retail,2023-01-06,2023-01-08,,,negotiating,29192,medium
RL01093,R016,,DE,accounting,other,2023-01-11,,,,pending,33440,medium
RL01094,R015,C02414,DE,tax_advisory,hospitality,2023-01-02,2023-01-03,2023-01-09,2023-01-24,booked,28033,high
RL01095,R013,C02576,DE,tax_advisory,professional_services,2023-01-09,2023-01-11,2023-01-14,2023-02-06,booked,25709,low
RL01096,R016,C02594,DE,audit,professional_services,2023-02-21,2023-02-24,2023-03-06,2023-03-12,booked,8334,medium
RL01097,R014,,DE,accounting,retail,2023-02-25,,,,pending,3563,low
RL01098,R014,C02644,DE,bookkeeping,hospitality,2023-02-04,2023-02-07,2023-02-17,2023-03-08,booked,16370,medium
RL01099,R014,C02684,DE,bookkeeping,retail,2023-02-18,2023-02-20,2023-02-27,2023-03-09,booked,42389,medium
RL01100,R016,,DE,bookkeeping,professional_services,2023-02-14,2023-02-17,,,matching,12925,medium
RL01101,R015,C02428,DE,accounting,other,2023-02-28,2023-03-01,2023-03-10,2023-03-22,booked,27374,low
RL01102,R015,C02518,DE,bookkeeping,retail,2023-02-07,2023-02-10,2023-02-20,2023-03-06,booked,15341,high
RL01103,R016,,DE,tax_advisory,hospitality,2023-02-28,2023-03-01,,2023-03-16,lost,13051,medium
RL01104,R013,,DE,accounting,tech,2023-02-20,2023-02-22,,2023-03-05,lost,33917,low
RL01105,R014,,DE,audit,professional_services,2023-02-20,2023-02-23,,,negotiating,26436,medium
RL01106,R015,C02492,DE,bookkeeping,tech,2023-02-04,2023-02-06,2023-02-15,2023-03-06,booked,18085,medium
RL01107,R016,C02676,DE,audit,hospitality,2023-02-26,2023-03-01,2023-03-10,2023-03-21,booked,26854,low
RL01108,R013,,DE,tax_advisory,tech,2023-02-08,,,,pending,34318,high
RL01109,R013,,DE,tax_advisory,retail,2023-02-21,2023-02-23,,2023-03-07,lost,29203,medium
RL01110,R014,C02406,DE,audit,tech,2023-02-23,2023-02-26,2023-03-03,2023-03-15,booked,24891,low
RL01111,R013,C02505,DE,bookkeeping,tech,2023-03-04,2023-03-07,2023-03-12,2023-03-22,booked,3518,medium
RL01112,R013,C02464,DE,accounting,hospitality,2023-03-14,2023-03-17,2023-03-19,2023-04-09,booked,13988,medium
RL01113,R014,C02439,DE,payroll,retail,2023-03-14,2023-03-16,2023-03-23,2023-04-09,booked,39780,medium
RL01114,R014,,DE,tax_advisory,professional_services,2023-03-22,2023-03-23,,,negotiating,37603,high
RL01115,R015,C02446,DE,payroll,retail,2023-03-02,2023-03-03,2023-03-11,2023-03-25,booked,23671,medium
RL01116,R014,,DE,audit,retail,2023-03-27,2023-03-30,,2023-04-05,lost,6927,medium
RL01117,R015,,DE,bookkeeping,professional_services,2023-03-19,,,,pending,43914,medium
RL01118,R016,,DE,tax_advisory,tech,2023-03-10,2023-03-12,,2023-03-19,lost,26550,medium
RL01119,R014,C02552,DE,tax_advisory,tech,2023-03-19,2023-03-21,2023-03-25,2023-03-30,booked,6383,medium
RL01120,R016,C02560,DE,audit,tech,2023-03-15,2023-03-16,2023-03-24,2023-04-18,booked,19118,medium
RL01121,R015,,DE,audit,tech,2023-03-01,2023-03-03,,,negotiating,9028,medium
RL01122,R015,C02459,DE,payroll,tech,2023-03-05,2023-03-08,2023-03-12,2023-04-05,booked,7070,medium
RL01123,R015,,DE,tax_advisory,professional_services,2023-03-01,2023-03-03,,2023-03-16,lost,13273,medium
RL01124,R015,C02671,DE,payroll,hospitality,2023-03-06,2023-03-08,2023-03-11,2023-03-21,booked,3900,low
RL01125,R014,,DE,bookkeeping,professional_services,2023-03-13,2023-03-16,,,negotiating,44878,low
RL01126,R015,C02706,DE,accounting,other,2023-04-12,2023-04-14,2023-04-20,2023-05-04,booked,7645,medium
RL01127,R015,,DE,accounting,tech,2023-04-16,2023-04-19,,2023-04-30,lost,33811,medium
RL01128,R014,,DE,tax_advisory,retail,2023-04-21,2023-04-23,,2023-04-30,lost,39175,medium
RL01129,R014,,DE,audit,tech,2023-04-15,2023-04-18,,2023-05-03,lost,22812,low
RL01130,R013,,DE,accounting,hospitality,2023-04-01,2023-04-03,,,negotiating,19486,high
RL01131,R013,,DE,audit,other,2023-04-01,2023-04-03,,2023-04-11,lost,31803,high
RL01132,R016,C02386,DE,accounting,other,2023-04-26,2023-04-29,2023-05-08,2023-05-20,booked,28065,medium
RL01133,R013,C02704,DE,tax_advisory,professional_services,2023-04-07,2023-04-10,2023-04-15,2023-05-01,booked,42019,medium
RL01134,R013,C02410,DE,bookkeeping,professional_services,2023-04-24,2023-04-27,2023-05-06,2023-05-25,booked,19641,medium
RL01135,R015,,DE,bookkeeping,other,2023-04-20,,,,pending,4659,low
RL01136,R016,,DE,payroll,professional_services,2023-04-06,2023-04-09,,2023-04-22,lost,44461,low
RL01137,R015,,DE,tax_advisory,other,2023-04-04,2023-04-06,,,matching,42567,low
RL01138,R013,,DE,tax_advisory,professional_services,2023-04-20,2023-04-22,,,negotiating,33945,medium
RL01139,R014,,DE,tax_advisory,hospitality,2023-04-21,2023-04-22,,2023-05-02,lost,26947,medium
RL01140,R015,C02603,DE,accounting,tech,2023-04-21,2023-04-22,2023-04-28,2023-05-05,booked,26556,low
RL01141,R015,C02414,DE,payroll,other,2023-05-26,2023-05-28,2023-05-31,2023-06-13,booked,40986,medium
RL01142,R015,C02638,DE,tax_advisory,tech,2023-05-14,2023-05-17,2023-05-20,2023-05-29,booked,28976,medium
RL01143,R013,,DE,audit,other,2023-05-24,2023-05-26,,2023-06-01,lost,18907,medium
RL01144,R016,C02464,DE,audit,hospitality,2023-05-26,2023-05-27,2023-05-29,2023-06-23,booked,31743,high
RL01145,R013,C02513,DE,bookkeeping,other,2023-05-04,2023-05-06,2023-05-09,2023-05-28,booked,35518,low
RL01146,R015,C02604,DE,audit,retail,2023-05-13,2023-05-15,2023-05-25,2023-06-15,booked,11358,low
RL01147,R014,C02551,DE,payroll,hospitality,2023-05-26,2023-05-29,2023-06-01,2023-06-07,booked,43026,medium
RL01148,R014,C02642,DE,tax_advisory,other,2023-05-16,2023-05-19,2023-05-22,2023-05-31,booked,42635,medium
RL01149,R016,,DE,bookkeeping,other,2023-05-24,2023-05-25,,2023-06-01,lost,4077,medium
RL01150,R013,C02511,DE,accounting,other,2023-05-04,2023-05-07,2023-05-16,2023-06-09,booked,22350,medium
RL01151,R016,,DE,accounting,professional_services,2023-05-02,2023-05-03,,,negotiating,32041,low
RL01152,R014,C02519,DE,bookkeeping,retail,2023-05-08,2023-05-10,2023-05-14,2023-06-06,booked,38576,medium
RL01153,R016,,DE,audit,professional_services,2023-05-05,2023-05-07,,2023-05-18,lost,37483,medium
RL01154,R016,C02532,DE,payroll,professional_services,2023-05-18,2023-05-19,2023-05-25,2023-06-04,booked,13111,high
RL01155,R014,C02634,DE,bookkeeping,professional_services,2023-05-04,2023-05-07,2023-05-15,2023-05-23,booked,5379,medium
RL01156,R013,C02597,DE,payroll,hospitality,2023-06-05,2023-06-07,2023-06-10,2023-06-29,booked,15727,low
RL01157,R014,,DE,tax_advisory,professional_services,2023-06-16,2023-06-19,,2023-06-30,lost,41170,high
RL01158,R015,,DE,bookkeeping,other,2023-06-25,2023-06-26,,2023-07-10,lost,28607,medium
RL01159,R013,,DE,payroll,professional_services,2023-06-05,2023-06-06,,,matching,6338,medium
RL01160,R016,,DE,accounting,retail,2023-06-14,2023-06-15,,,matching,32653,medium
RL01161,R015,,DE,payroll,other,2023-06-23,2023-06-24,,,matching,10801,medium
RL01162,R013,C02382,DE,payroll,professional_services,2023-06-20,2023-06-22,2023-06-27,2023-07-12,booked,31790,medium
RL01163,R016,C02382,DE,accounting,retail,2023-06-24,2023-06-27,2023-07-04,2023-07-09,booked,43650,medium
RL01164,R013,C02555,DE,audit,other,2023-06-21,2023-06-24,2023-06-27,2023-07-15,booked,28562,high
RL01165,R015,C02397,DE,tax_advisory,other,2023-06-12,2023-06-14,2023-06-16,2023-06-30,booked,37462,medium
RL01166,R014,,DE,payroll,retail,2023-06-26,,,,pending,10647,medium
RL01167,R016,C02687,DE,audit,hospitality,2023-06-08,2023-06-10,2023-06-18,2023-07-02,booked,17394,high
RL01168,R015,,DE,accounting,hospitality,2023-06-08,,,,pending,27255,high
RL01169,R015,,DE,tax_advisory,hospitality,2023-06-28,2023-07-01,,,negotiating,40133,low
RL01170,R013,,DE,audit,professional_services,2023-06-05,2023-06-08,,,negotiating,5623,medium
RL01171,R015,,DE,accounting,tech,2023-07-15,2023-07-18,,2023-07-28,lost,17359,low
RL01172,R013,C02721,DE,accounting,other,2023-07-01,2023-07-02,2023-07-09,2023-07-17,booked,24754,high
RL01173,R013,C02743,DE,tax_advisory,other,2023-07-23,2023-07-25,2023-07-28,2023-08-04,booked,21632,low
RL01174,R014,C02559,DE,payroll,hospitality,2023-07-21,2023-07-24,2023-08-02,2023-08-07,booked,36057,low
RL01175,R013,C02681,DE,accounting,tech,2023-07-06,2023-07-07,2023-07-14,2023-07-23,booked,44948,medium
RL01176,R016,C02573,DE,bookkeeping,hospitality,2023-07-17,2023-07-18,2023-07-26,2023-08-12,booked,36943,medium
RL01177,R013,C02403,DE,payroll,retail,2023-07-14,2023-07-16,2023-07-23,2023-08-07,booked,32999,medium
RL01178,R014,C02434,DE,accounting,hospitality,2023-07-05,2023-07-06,2023-07-09,2023-07-22,booked,27223,high
RL01179,R013,,DE,bookkeeping,professional_services,2023-07-22,2023-07-24,,,matching,35919,medium
RL01180,R016,C02537,DE,audit,hospitality,2023-07-15,2023-07-16,2023-07-20,2023-08-08,booked,21874,medium
RL01181,R016,C02380,DE,audit,other,2023-07-04,2023-07-06,2023-07-16,2023-07-28,booked,32271,medium
RL01182,R013,C02438,DE,payroll,retail,2023-07-27,2023-07-30,2023-08-04,2023-08-14,booked,13868,medium
RL01183,R015,,DE,accounting,professional_services,2023-07-07,2023-07-09,,2023-07-19,lost,10655,medium
RL01184,R013,,DE,audit,tech,2023-07-20,,,,pending,39263,high
RL01185,R015,C02667,DE,audit,tech,2023-07-16,2023-07-17,2023-07-19,2023-07-31,booked,10180,high
RL01186,R016,C02572,DE,tax_advisory,hospitality,2023-08-26,2023-08-28,2023-09-03,2023-09-23,booked,25233,low
RL01187,R013,C02714,DE,bookkeeping,other,2023-08-05,2023-08-06,2023-08-10,2023-08-17,booked,29490,medium
RL01188,R014,,DE,bookkeeping,retail,2023-08-08,2023-08-09,,,matching,8705,medium
RL01189,R014,C02558,DE,audit,hospitality,2023-08-20,2023-08-21,2023-08-31,2023-09-18,booked,27118,high
RL01190,R016,,DE,bookkeeping,professional_services,2023-08-25,2023-08-28,,2023-09-07,lost,13020,medium
RL01191,R013,,DE,bookkeeping,hospitality,2023-08-16,,,,pending,17617,medium
RL01192,R014,,DE,payroll,hospitality,2023-08-28,,,,pending,3541,medium
RL01193,R014,,DE,audit,tech,2023-08-14,2023-08-15,,,matching,40095,medium
RL01194,R013,,DE,audit,retail,2023-08-26,2023-08-28,,,matching,38645,low
RL01195,R014,,DE,accounting,retail,2023-08-05,,,,pending,15353,low
RL01196,R013,,DE,accounting,retail,2023-08-17,2023-08-19,,2023-08-28,lost,15305,high
RL01197,R015,,DE,bookkeeping,tech,2023-08-16,2023-08-18,,,matching,40607,high
RL01198,R014,,DE,audit,retail,2023-08-23,2023-08-24,,,matching,12405,medium
RL01199,R014,,DE,payroll,professional_services,2023-08-01,2023-08-04,,,negotiating,3096,medium
RL01200,R015,C02589,DE,tax_advisory,other,2023-08-04,2023-08-07,2023-08-10,2023-08-20,booked,16185,low
RL01201,R016,,DE,accounting,other,2023-09-11,2023-09-12,,2023-09-22,lost,8544,medium
RL01202,R013,,DE,accounting,tech,2023-09-06,2023-09-08,,,negotiating,28594,low
RL01203,R015,C02434,DE,bookkeeping,hospitality,2023-09-23,2023-09-25,2023-10-02,2023-10-23,booked,31384,medium
RL01204,R013,,DE,payroll,hospitality,2023-09-06,2023-09-08,,2023-09-16,lost,13810,medium
RL01205,R013,,DE,audit,tech,2023-09-08,,,,pending,33563,high
RL01206,R015,C02631,DE,bookkeeping,tech,2023-09-10,2023-09-11,2023-09-13,2023-09-29,booked,22479,medium
RL01207,R015,,DE,tax_advisory,retail,2023-09-27,2023-09-28,,,negotiating,23219,low
RL01208,R015,C02771,DE,accounting,tech,2023-09-11,2023-09-14,2023-09-17,2023-09-30,booked,30017,low
RL01209,R014,C02502,DE,audit,tech,2023-09-02,2023-09-04,2023-09-13,2023-10-06,booked,10333,medium
RL01210,R013,,DE,tax_advisory,retail,2023-09-04,2023-09-06,,,negotiating,29044,low
RL01211,R013,,DE,tax_advisory,tech,2023-09-23,2023-09-26,,,negotiating,3520,low
RL01212,R015,C02612,DE,bookkeeping,retail,2023-09-13,2023-09-15,2023-09-25,2023-10-11,booked,7108,low
RL01213,R016,,DE,bookkeeping,tech,2023-09-11,,,,pending,21039,medium
RL01214,R016,C02755,DE,audit,retail,2023-09-21,2023-09-22,2023-09-29,2023-10-17,booked,35187,low
RL01215,R016,C02481,DE,audit,hospitality,2023-09-14,2023-09-17,2023-09-22,2023-09-28,booked,26648,medium
RL01216,R016,C02416,DE,payroll,professional_services,2023-10-10,2023-10-11,2023-10-20,2023-10-25,booked,32317,high
RL01217,R014,C02695,DE,audit,other,2023-10-09,2023-10-11,2023-10-20,2023-11-14,booked,20884,medium
RL01218,R015,C02509,DE,accounting,retail,2023-10-09,2023-10-10,2023-10-19,2023-11-03,booked,27931,medium
RL01219,R013,C02685,DE,accounting,retail,2023-10-19,2023-10-20,2023-10-30,2023-11-10,booked,4530,medium
RL01220,R013,C02597,DE,bookkeeping,hospitality,2023-10-21,2023-10-24,2023-11-03,2023-11-15,booked,14469,medium
RL01221,R016,,DE,accounting,hospitality,2023-10-26,2023-10-28,,2023-11-02,lost,36095,low
RL01222,R015,C02533,DE,tax_advisory,retail,2023-10-02,2023-10-05,2023-10-14,2023-10-22,booked,28481,high
RL01223,R015,,DE,accounting,retail,2023-10-05,2023-10-06,,,matching,16380,low
RL01224,R014,,DE,payroll,retail,2023-10-24,2023-10-27,,,matching,23289,low
RL01225,R016,C02447,DE,accounting,hospitality,2023-10-04,2023-10-06,2023-10-09,2023-10-29,booked,26955,high
RL01226,R016,C02415,DE,audit,hospitality,2023-10-23,2023-10-24,2023-10-30,2023-11-15,booked,39547,medium
RL01227,R016,C02569,DE,audit,professional_services,2023-10-21,2023-10-23,2023-10-26,2023-11-11,booked,5327,high
RL01228,R013,C02580,DE,audit,other,2023-10-17,2023-10-19,2023-10-22,2023-11-11,booked,18624,low
RL01229,R013,,DE,audit,hospitality,2023-10-13,2023-10-15,,,negotiating,38881,high
RL01230,R016,,DE,bookkeeping,professional_services,2023-10-28,2023-10-30,,,negotiating,41343,high
RL01231,R016,C02614,DE,audit,hospitality,2023-11-07,2023-11-08,2023-11-17,2023-12-11,booked,41801,medium
RL01232,R014,C02579,DE,accounting,other,2023-11-20,2023-11-21,2023-12-01,2023-12-22,booked,42129,low
RL01233,R015,,DE,tax_advisory,retail,2023-11-17,2023-11-18,,2023-11-29,lost,27389,medium
RL01234,R013,C02649,DE,audit,other,2023-11-07,2023-11-08,2023-11-11,2023-11-16,booked,32917,medium
RL01235,R016,C02770,DE,audit,hospitality,2023-11-22,2023-11-25,2023-12-01,2023-12-15,booked,22534,medium
RL01236,R015,,DE,bookkeeping,tech,2023-11-26,2023-11-28,,2023-12-03,lost,34560,medium
RL01237,R016,C02451,DE,tax_advisory,other,2023-11-13,2023-11-15,2023-11-21,2023-12-03,booked,25024,low
RL01238,R016,C02656,DE,tax_advisory,hospitality,2023-11-18,2023-11-20,2023-11-28,2023-12-11,booked,27602,low
RL01239,R016,,DE,tax_advisory,hospitality,2023-11-09,2023-11-10,,,negotiating,9542,medium
RL01240,R015,C02797,DE,accounting,retail,2023-11-01,2023-11-04,2023-11-10,2023-12-01,booked,7250,medium
RL01241,R014,C02878,DE,accounting,professional_services,2023-11-14,2023-11-17,2023-11-23,2023-11-29,booked,26515,low
RL01242,R015,C02766,DE,audit,hospitality,2023-11-08,2023-11-09,2023-11-17,2023-12-12,booked,44459,low
RL01243,R014,,DE,tax_advisory,tech,2023-11-24,2023-11-27,,2023-12-06,lost,40698,medium
RL01244,R015,,DE,accounting,other,2023-11-23,2023-11-25,,2023-12-04,lost,3122,low
RL01245,R015,,DE,audit,hospitality,2023-11-03,2023-11-06,,2023-11-19,lost,13599,low
RL01246,R015,C02381,DE,accounting,retail,2023-12-03,2023-12-06,2023-12-15,2024-01-01,booked,42296,low
RL01247,R015,C02859,DE,accounting,retail,2023-12-11,2023-12-14,2023-12-23,2023-12-30,booked,5459,medium
RL01248,R013,,DE,accounting,tech,2023-12-25,2023-12-26,,,negotiating,34995,medium
RL01249,R015,C02606,DE,bookkeeping,professional_services,2023-12-05,2023-12-08,2023-12-14,2024-01-02,booked,35478,medium
RL01250,R015,C02869,DE,audit,retail,2023-12-13,2023-12-14,2023-12-20,2024-01-03,booked,21349,high
RL01251,R016,C02564,DE,accounting,professional_services,2023-12-10,2023-12-12,2023-12-15,2023-12-21,booked,30632,medium
RL01252,R014,,DE,payroll,retail,2023-12-13,2023-12-14,,,negotiating,23449,medium
RL01253,R013,C02510,DE,payroll,hospitality,2023-12-05,2023-12-08,2023-12-18,2024-01-01,booked,31356,medium
RL01254,R015,,DE,accounting,tech,2023-12-05,2023-12-08,,2023-12-15,lost,18901,low
RL01255,R013,,DE,accounting,professional_services,2023-12-10,2023-12-11,,,matching,29957,medium
RL01256,R014,C02412,DE,tax_advisory,other,2023-12-10,2023-12-13,2023-12-18,2023-12-26,booked,28292,medium
RL01257,R015,C02854,DE,bookkeeping,retail,2023-12-14,2023-12-15,2023-12-24,2024-01-09,booked,20314,low
RL01258,R014,C02526,DE,audit,other,2023-12-09,2023-12-10,2023-12-20,2024-01-09,booked,36634,high
RL01259,R015,,DE,payroll,hospitality,2023-12-01,2023-12-02,,2023-12-12,lost,18340,low
RL01260,R013,,DE,payroll,tech,2023-12-25,2023-12-26,,2024-01-10,lost,20194,low
RL01261,R014,,DE,payroll,other,2024-01-26,2024-01-29,,2024-02-11,lost,7891,high
RL01262,R015,C02410,DE,accounting,professional_services,2024-01-13,2024-01-16,2024-01-23,2024-01-29,booked,41631,medium
RL01263,R013,C02449,DE,payroll,professional_services,2024-01-28,2024-01-30,2024-02-06,2024-02-17,booked,40158,medium
RL01264,R013,,DE,payroll,professional_services,2024-01-08,,,,pending,20190,medium
RL01265,R015,,DE,bookkeeping,hospitality,2024-01-08,2024-01-11,,2024-01-21,lost,44051,low
RL01266,R015,C02469,DE,audit,other,2024-01-27,2024-01-28,2024-02-01,2024-02-24,booked,19408,medium
RL01267,R014,C02888,DE,tax_advisory,retail,2024-01-09,2024-01-11,2024-01-21,2024-02-09,booked,12343,high
RL01268,R015,,DE,payroll,hospitality,2024-01-06,2024-01-09,,2024-01-20,lost,15446,high
RL01269,R013,C02511,DE,accounting,hospitality,2024-01-28,2024-01-31,2024-02-10,2024-02-16,booked,44944,high
RL01270,R013,,DE,payroll,tech,2024-01-24,2024-01-26,,2024-02-09,lost,39393,low
RL01271,R015,,DE,audit,retail,2024-01-17,2024-01-20,,,matching,14650,medium
RL01272,R013,C02712,DE,payroll,hospitality,2024-01-06,2024-01-08,2024-01-15,2024-02-02,booked,31614,medium
RL01273,R016,C02450,DE,payroll,hospitality,2024-01-11,2024-01-14,2024-01-16,2024-02-10,booked,14059,high
RL01274,R013,C02802,DE,bookkeeping,other,2024-01-21,2024-01-23,2024-01-27,2024-02-01,booked,17410,medium
RL01275,R015,,DE,accounting,tech,2024-01-25,,,,pending,21821,medium
RL01276,R015,C02530,DE,audit,professional_services,2024-02-22,2024-02-23,2024-03-01,2024-03-06,booked,21939,medium
RL01277,R015,C02567,DE,bookkeeping,hospitality,2024-02-15,2024-02-17,2024-02-21,2024-03-15,booked,19766,low
RL01278,R016,,DE,audit,other,2024-02-22,,,,pending,44753,medium
RL01279,R013,,DE,tax_advisory,retail,2024-02-05,,,,pending,13969,low
RL01280,R014,C02767,DE,audit,professional_services,2024-02-12,2024-02-13,2024-02-21,2024-03-09,booked,35442,medium
RL01281,R014,,DE,tax_advisory,retail,2024-02-23,2024-02-24,,2024-03-01,lost,35475,high
RL01282,R015,C02538,DE,tax_advisory,professional_services,2024-02-14,2024-02-17,2024-02-26,2024-03-15,booked,40515,low
RL01283,R013,,DE,accounting,professional_services,2024-02-02,2024-02-03,,,negotiating,15303,medium
RL01284,R016,,DE,audit,tech,2024-02-14,2024-02-17,,,negotiating,28665,medium
RL01285,R014,C02707,DE,accounting,tech,2024-02-11,2024-02-13,2024-02-23,2024-03-07,booked,16580,high
RL01286,R016,C02580,DE,payroll,tech,2024-02-12,2024-02-14,2024-02-20,2024-02-25,booked,18463,medium
RL01287,R013,C02884,DE,payroll,professional_services,2024-02-09,2024-02-10,2024-02-15,2024-03-02,booked,10370,low
RL01288,R016,,DE,bookkeeping,retail,2024-02-26,,,,pending,5367,low
RL01289,R016,,DE,payroll,other,2024-02-23,2024-02-26,,,negotiating,6388,medium
RL01290,R015,C02824,DE,audit,tech,2024-02-21,2024-02-23,2024-03-01,2024-03-24,booked,15891,medium
RL01291,R013,C02624,DE,accounting,tech,2024-03-17,2024-03-18,2024-03-24,2024-04-12,booked,33325,medium
RL01292,R014,C02798,DE,payroll,other,2024-03-24,2024-03-26,2024-03-30,2024-04-22,booked,12893,medium
RL01293,R015,C02789,DE,audit,hospitality,2024-03-11,2024-03-14,2024-03-21,2024-04-12,booked,13503,medium
RL01294,R014,C02506,DE,audit,professional_services,2024-03-14,2024-03-15,2024-03-18,2024-03-28,booked,23593,medium
RL01295,R013,,DE,bookkeeping,retail,2024-03-17,2024-03-18,,2024-03-27,lost,10968,low
RL01296,R013,C02554,DE,audit,tech,2024-03-12,2024-03-13,2024-03-18,2024-04-10,booked,13015,medium
RL01297,R015,C02783,DE,tax_advisory,professional_services,2024-03-01,2024-03-02,2024-03-06,2024-03-21,booked,9165,low
RL01298,R014,,DE,audit,hospitality,2024-03-03,2024-03-04,,2024-03-09,lost,31849,medium
RL01299,R014,,DE,bookkeeping,hospitality,2024-03-07,2024-03-08,,2024-03-14,lost,33276,medium
RL01300,R014,C02773,DE,bookkeeping,hospitality,2024-03-13,2024-03-16,2024-03-19,2024-04-01,booked,35919,low
RL01301,R015,,DE,bookkeeping,retail,2024-03-16,2024-03-17,,2024-03-30,lost,26466,low
RL01302,R013,,DE,bookkeeping,hospitality,2024-03-01,2024-03-02,,2024-03-08,lost,16532,high
RL01303,R014,,DE,bookkeeping,retail,2024-03-15,2024-03-18,,2024-03-24,lost,33462,low
RL01304,R014,C02517,DE,audit,hospitality,2024-03-20,2024-03-22,2024-03-27,2024-04-12,booked,41167,low
RL01305,R016,C02392,DE,payroll,hospitality,2024-03-12,2024-03-14,2024-03-22,2024-04-02,booked,5321,low
RL01306,R013,C02381,DE,tax_advisory,retail,2024-04-08,2024-04-10,2024-04-16,2024-05-11,booked,23764,high
RL01307,R015,,DE,audit,hospitality,2024-04-23,2024-04-25,,2024-05-01,lost,39041,high
RL01308,R014,,DE,tax_advisory,tech,2024-04-01,2024-04-03,,,matching,37988,medium
RL01309,R016,C02502,DE,payroll,tech,2024-04-27,2024-04-30,2024-05-03,2024-05-24,booked,4237,medium
RL01310,R013,,DE,tax_advisory,retail,2024-04-01,2024-04-04,,,negotiating,27357,medium
RL01311,R016,C02401,DE,audit,hospitality,2024-04-26,2024-04-27,2024-05-01,2024-05-21,booked,40602,low
RL01312,R014,,DE,tax_advisory,hospitality,2024-04-25,,,,pending,14879,low
RL01313,R013,,DE,audit,other,2024-04-05,2024-04-08,,2024-04-15,lost,6672,high
RL01314,R014,,DE,tax_advisory,retail,2024-04-13,2024-04-15,,,matching,11398,low
RL01315,R016,,DE,tax_advisory,hospitality,2024-04-23,2024-04-24,,2024-05-06,lost,41420,low
RL01316,R016,,DE,tax_advisory,tech,2024-04-02,2024-04-05,,,matching,15323,medium
RL01317,R014,,DE,audit,hospitality,2024-04-06,,,,pending,22354,medium
RL01318,R016,C02407,DE,tax_advisory,professional_services,2024-04-22,2024-04-25,2024-05-05,2024-05-26,booked,34454,low
RL01319,R015,C02489,DE,audit,hospitality,2024-04-15,2024-04-17,2024-04-26,2024-05-02,booked,40984,medium
RL01320,R015,,DE,bookkeeping,retail,2024-04-07,2024-04-09,,,matching,31160,medium
RL01321,R014,,DE,audit,tech,2024-05-19,2024-05-22,,2024-05-31,lost,7068,medium
RL01322,R013,,DE,accounting,hospitality,2024-05-12,2024-05-15,,,matching,34094,high
RL01323,R014,C02933,DE,audit,tech,2024-05-03,2024-05-06,2024-05-11,2024-05-29,booked,34125,medium
RL01324,R014,C02730,DE,accounting,retail,2024-05-08,2024-05-09,2024-05-13,2024-06-06,booked,31308,high
RL01325,R014,C02916,DE,accounting,other,2024-05-15,2024-05-18,2024-05-24,2024-06-14,booked,23610,medium
RL01326,R013,C02901,DE,payroll,tech,2024-05-06,2024-05-09,2024-05-16,2024-05-24,booked,7148,medium
RL01327,R014,C02830,DE,payroll,retail,2024-05-13,2024-05-14,2024-05-19,2024-06-02,booked,39364,low
RL01328,R013,C02869,DE,accounting,other,2024-05-12,2024-05-15,2024-05-20,2024-06-03,booked,34014,high
RL01329,R016,,DE,audit,professional_services,2024-05-07,2024-05-10,,,negotiating,43780,high
RL01330,R015,C02648,DE,tax_advisory,professional_services,2024-05-19,2024-05-21,2024-05-29,2024-06-06,booked,27233,low
RL01331,R013,C02634,DE,bookkeeping,retail,2024-05-22,2024-05-25,2024-05-30,2024-06-21,booked,19905,medium
RL01332,R014,C02536,DE,payroll,professional_services,2024-05-28,2024-05-30,2024-06-06,2024-06-21,booked,38318,medium
RL01333,R013,,DE,payroll,professional_services,2024-05-01,,,,pending,42376,medium
RL01334,R013,,DE,accounting,tech,2024-05-26,2024-05-29,,,negotiating,33682,medium
RL01335,R015,C02672,DE,tax_advisory,other,2024-05-06,2024-05-09,2024-05-13,2024-05-18,booked,11418,high
RL01336,R013,,DE,audit,professional_services,2024-06-11,2024-06-14,,,negotiating,22413,medium
RL01337,R013,,DE,bookkeeping,other,2024-06-19,2024-06-21,,,matching,15941,high
RL01338,R016,C02651,DE,audit,other,2024-06-27,2024-06-30,2024-07-08,2024-07-17,booked,36794,medium
RL01339,R014,,DE,bookkeeping,retail,2024-06-10,2024-06-12,,2024-06-18,lost,10665,low
RL01340,R014,C02867,DE,accounting,tech,2024-06-09,2024-06-11,2024-06-17,2024-07-12,booked,43698,high
RL01341,R014,C02933,DE,tax_advisory,professional_services,2024-06-19,2024-06-21,2024-06-30,2024-07-19,booked,12198,low
RL01342,R016,C02422,DE,audit,hospitality,2024-06-11,2024-06-12,2024-06-19,2024-07-05,booked,43047,medium
RL01343,R013,C02963,DE,accounting,professional_services,2024-06-09,2024-06-12,2024-06-20,2024-06-30,booked,38686,medium
RL01344,R013,C02949,DE,payroll,hospitality,2024-06-07,2024-06-09,2024-06-12,2024-07-07,booked,32033,medium
RL01345,R016,,DE,audit,retail,2024-06-09,2024-06-11,,,matching,7478,medium
RL01346,R014,,DE,tax_advisory,professional_services,2024-06-06,,,,pending,42567,medium
RL01347,R015,C02586,DE,audit,hospitality,2024-06-08,2024-06-11,2024-06-17,2024-06-30,booked,28213,medium
RL01348,R013,,DE,accounting,professional_services,2024-06-12,2024-06-14,,,matching,32628,low
RL01349,R014,,DE,accounting,retail,2024-06-27,2024-06-29,,2024-07-14,lost,40851,low
